a_o,ipat,clase_siniestro,fecha,hora,jornada,dia_semana,barrios_corregimiento_via,direccion,zona,autoridad,lat,long,hipotesis,codigo,condicion_de_la_victima,edad,genero,lesionados_y_muertos
2022.0,8446.0,CHOQUE,2022-01-01 00:00:00,,MAÑANA,SÁBADO,BARRIO NUEVO,CALLE 19 CARRERA 32,URBANA,TECNICO,,,IMPERICIA EN EL MANEJO,139.0,MOTOCICLISTA,22.0,MASCULINO,LESIONADO
2022.0,8446.0,CHOQUE,2022-01-01 00:00:00,,MAÑANA,SÁBADO,BARRIO NUEVO,CALLE 19 CARRERA 32,URBANA,TECNICO,,,IMPERICIA EN EL MANEJO,139.0,MOTOCICLISTA,37.0,MASCULINO,LESIONADO
2022.0,8447.0,CHOQUE,2022-01-01 00:00:00,,MAÑANA,SÁBADO,POBLADO COMFAUNION,CARRERA 18 CALLE 44,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,ACOMPAÑANTE MOTOCICLISTA,28.0,FEMENINO,LESIONADO
2022.0,8447.0,CHOQUE,2022-01-01 00:00:00,,MAÑANA,SÁBADO,POBLADO COMFAUNION,CARRERA 18 CALLE 44,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,NO APLICA,31.0,MASCULINO,NO APLICA
2022.0,8447.0,CHOQUE,2022-01-01 00:00:00,,MAÑANA,SÁBADO,POBLADO COMFAUNION,CARRERA 18 CALLE 44,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,MOTOCICLISTA,30.0,MASCULINO,LESIONADO
2022.0,8448.0,CHOQUE,2022-01-01 00:00:00,,TARDE,SÁBADO,CENTRO,CALLE 29 CARRERA 32,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,MOTOCICLISTA,19.0,MASCULINO,LESIONADO
2022.0,8448.0,CHOQUE,2022-01-01 00:00:00,,TARDE,SÁBADO,CENTRO,CALLE 29 CARRERA 32,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,NO APLICA,46.0,MASCULINO,NO APLICA
2022.0,8449.0,CHOQUE,2022-01-01 00:00:00,,NOCHE,SÁBADO,VIA PALMIRA  BOLO,KM 2,RURAL,TECNICO,,,INVADIR CARRIL SENTIDO CONTRARIO,157.0,NO APLICA,23.0,MASCULINO,NO APLICA
2022.0,8449.0,CHOQUE,2022-01-01 00:00:00,,NOCHE,SÁBADO,VIA PALMIRA  BOLO,KM 2,RURAL,TECNICO,,,INVADIR CARRIL SENTIDO CONTRARIO,157.0,MOTOCICLISTA,23.0,MASCULINO,LESIONADO
2022.0,8450.0,CHOQUE,2022-01-01 00:00:00,,NOCHE,SÁBADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,,,POR ESTABLECER,157.0,MOTOCICLISTA,26.0,MASCULINO,MUERTO
2022.0,8450.0,CHOQUE,2022-01-01 00:00:00,,NOCHE,SÁBADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,,,POR ESTABLECER,157.0,MOTOCICLISTA,21.0,MASCULINO,LESIONADO
2022.0,8450.0,CHOQUE,2022-01-01 00:00:00,,NOCHE,SÁBADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,,,POR ESTABLECER,157.0,ACOMPAÑANTE MOTOCICLISTA,16.0,FEMENINO,LESIONADO
