gravedad,fecha,a_o,hora,jornada,dia_semana,barrios_corregimiento_via,direccion,zona,autoridad,lat,long,condicion_de_la_victima,clase_de_siniestro,genero,lesionado,homicidios,clinica,clase_vehiculo,marca,tipo_de_servicio,empresa
HERIDOS,2021-01-02T00:00:00.000,2021,19:30,NOCHE,SABADO,RESERVAS  ZAMORANO,DIAGONAL 58 CARRERA 34,URBANA,TECNICO,"3,55071","-76,30252",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-01-02T00:00:00.000,2021,19:30,NOCHE,SABADO,CORONADO,DIAGONAL 58 CARRERA 34,URBANA,TECNICO,"3,55071","-76,30252",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,YAMAHA,PARTICULAR,NO APLICA
DAÑOS,2021-01-04T00:00:00.000,2021,09:35,MAÑANA,LUNES,COLOMBIA,CALLE 33 CARRERA 32,URBANA,TECNICO,"3,53091","-76,30202",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PUBLICO,COOP TRAS PALMERAS
DAÑOS,2021-01-04T00:00:00.000,2021,09:35,MAÑANA,LUNES,COLOMBIA,CALLE 33 CARRERA 32,URBANA,TECNICO,"3,53091","-76,30202",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMPERO,FORD,PARTICULAR,NO APLICA
MUERTO,2021-01-01T00:00:00.000,2021,,MADRUGADA,VIERNES,HAROL HEDER,CALLE 51 CARRERA 38,URBANA,TECNICO,"3,54452","-76,31069",MOTOCICLISTA,CHOQUE,MASCULINO,NO APLICA,1,PALMA,MOTO,NO APLICA,PARTICULAR,NO APLICA
HERIDOS,2021-01-04T00:00:00.000,2021,,TARDE,LUNES,URIBE,CALLE 31 CARRERA 22,URBANA,TECNICO,"3,5285","-76,30231",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMPERO,TOYOTA,PARTICULAR,NO APLICA
HERIDOS,2021-01-04T00:00:00.000,2021,,TARDE,LUNES,URIBE,CALLE 31 CARRERA 22,URBANA,TECNICO,"3,5285","-76,30231",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-01-04T00:00:00.000,2021,,TARDE,LUNES,URIBE,CALLE 31 CARRERA 22,URBANA,TECNICO,"3,5285","-76,30231",ACOMPAÑANTE MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,2021-01-04T00:00:00.000,2021,,NOCHE,LUNES,CAÑA MIEL,CALLE 44 CARRERA 19-18,URBANA,TECNICO,"3,53841","-76,29078",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,HERO,PARTICULAR,NO APLICA
HERIDOS,2021-01-04T00:00:00.000,2021,,NOCHE,LUNES,CAÑA MIEL,CALLE 44 CARRERA 19-18,URBANA,TECNICO,"3,53841","-76,29078",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-01-04T00:00:00.000,2021,,NOCHE,LUNES,CAÑA MIEL,CALLE 44 CARRERA 19-18,URBANA,TECNICO,"3,53841","-76,29078",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PARTICULAR,NO APLICA
DAÑOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,TRINIDAD,CALLE 29 CARRERA 23,URBANA,TECNICO,"3,52552","-76,29489",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,BUS,CHEVROLET,PUBLICO,NO APLICA
DAÑOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,TRINIDAD,CALLE 29 CARRERA 23,URBANA,TECNICO,"3,52552","-76,29489",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,MIRRIÑAO,CARRERA 28 CALLE 51,URBANA,TECNICO,"3,54499","-76,29613",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,MIRRIÑAO,CARRERA 28 CALLE 51,URBANA,TECNICO,"3,54499","-76,29613",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,URIBE,CALLE 34 CARRERA 24,URBANA,TECNICO,"3,5307","-76,29506",MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,RAUL,MOTO,AUTECO,PARTICULAR,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,URIBE,CALLE 34 CARRERA 24,URBANA,TECNICO,"3,5307","-76,29506",NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,URIBE,CALLE 34 CARRERA 24,URBANA,TECNICO,"3,5307","-76,29506",ACOMPAÑANTE MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,RAUL,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,2021-01-04T00:00:00.000,2021,,TARDE,LUNES,COLOMBIA,CALLE 33 CARRERA 31,URBANA,TECNICO,"3,53076","-76,30103",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PUBLICO,FLOTA PALMIRA
DAÑOS,2021-01-04T00:00:00.000,2021,,TARDE,LUNES,COLOMBIA,CALLE 33 CARRERA 31,URBANA,TECNICO,"3,53076","-76,30103",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTOCARRO,AYCO,PUBLICO,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,CENTRO,CALLE 28 CARRERA 31,URBANA,TECNICO,"3,53076","-76,30103",MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,PALMIRA,MOTO,KIMCO,PARTICULAR,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,CENTRO,CALLE 28 CARRERA 31,URBANA,TECNICO,"3,53076","-76,30103",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,YAMAHA,PARTICULAR,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,MAÑANA,MARTES,LORRETO,CALLE 36 CARRERA 35,URBANA,TECNICO,"3,53408","-76,30572",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,SANTA BARBARA,MOTO,HONDA,PARTICULAR,NO APLICA
